Ulasan_clean,rating,label
Barang Mantap recommended,5,1
Keren keren keren keren keren keren,5,1
Memuaskan deh pelayanannya,5,1
cakeppp n cepat pengirimannya,5,1
produk nya bagus ..........,5,1
Barang sudah diterima orang rumah. Tapi belum dicoba.,3,0
terima kasih gan barang sudah sampai,4,1
meskipun sempet kepending 1 hari karena cuaca.  overall good lahh...  mantap tenkyu gan,4,1
"Sudah diterima, sesuai deskripsi di etalase, cepat tanggap seller'a, bagus barang'a, driver gojek ujan2an :), thanks ya gan",5,1
"barang sampai selamat fast respon , beli kemaren sampe hari ini . seller ramah tks  tinggal pasang",5,1
lumayan buat sehari hari,4,1
"Barang sudah tiba, barangnya bagus pnp. thank you",5,1
okeeeeeeeeeeeehhhhhhhhhhhh.......,4,1
top abissssssssssssss............,5,1
pelayanan memuaskan. ane salah beli dan bisa dituker.,5,1
barang bagus. plastik cover depan masih bisa untuk touchscreen. packaging good. recommended seller. semoga semakin laris. two thumbs up !!,5,1
"fast respone, fast delivery, great product, good packaging...Mantap gan",5,1
"Good product, great price and fast delivery. Thank you",5,1
Barang sesuai pesanan dan memuaskan,5,1
Buat travelling mantap juga,5,1
Sesuai dgn yg di gambar tp qo kurir&#39;a lama ya kirim&#39;a..,4,1
"Sampe&#39;a cepetttt...cm 1 hari..
Mksh ya",4,1
"Sesuai deskripsi, mantap semoga awet",5,1
"Sesuai deskripsi, barang sesuai dgn harga lumayan",4,1
"produk sesuai dan bagus, kokoh",5,1
Barang bagus pengirimannya juga cepet bngt recomended pokoknya,5,1
Barangnya awet.. Sangat terpercaya,5,1
Barang nya bagus packing nya rapih sesuai dengan gambar,5,1
barang nya sampai dgn aman gan...thanks,5,1
"Kagak pas di motor ninja 250 fi.. 
Sama kagak pas di polygon stratos..",2,0
barang sudah sampai.. tapi karetnya 1 lepas.. tpi its ok.. thx,3,0
goooooooooooooooooooooooooooooddddddddddddddddd,5,1
barang bagus. kepake pisan oy....,5,1
terimakasih tokopedia pesanan sudah saya terima,5,1
"stang saya tidak muat hahah, sayakira bisa",3,0
thanks barangnya sudah sampe walau satu karetnya ilang,3,0
"Thanks gan barang sudah sampai,",4,1
good thanks ya :)))))))))))))),5,1
"Gabisa dipasang di spion, longgar, tapi bagus barangnya",3,0
barang sudah diterima dngn slamat,4,1
"butuh alat tambahan kalau di motor matic, kurang memuaskan",3,0
cepettttt.................................,5,1
makasih ya udah smpe holdernya tapi masih bingung cara masangnya hehee,5,1
"Agak kurang puas dengan holdernya,, 
Soalnya barang pas di pakai lepas alias perekatnya lobok.",3,0
"barang sesuai dengan foto, bagus",5,1
"Barang mantuuuul, packing rapiiiih, pokoke recomended bingiiiit👍👍👍",5,1
"Qualitas produknya ok, respon dan delivery sellernya cepat.. trimakasih",5,1
Semoga nempelnya kuat dan awet,5,1
Overall good walau warna dikirim gak sesuai request,4,1
"Keren lah ... !! Walau pilihan ekspedisi pengiriman terbatas, tapi ok lah barang sampai dalam tempo dua hari..",5,1
Paket sdh sampai...recomd seller,5,1
Mantapppppppppppppp poollll,5,1
"Pengiriman cepat , harga bersaing dan barangnya bagus",5,1
"Thanks Gan barang sudah sampai,Packing Rapi,semoga awet",5,1
Puas. Warna menarik. Produk ok,5,1
"Packing rapi dan pengiriman cepat, sayang tidak ada bonus case dan earphone seperti yang tercantum di foto produk",4,1
Packing rapi. Proses cepet . Recomended seller,5,1
"Bagus, sesuai deskripsi",4,1
"Barang sampai dengan selamat.
Pengiriman cepat dan segera sampai.",5,1
Pengiriman cepat dan barang sesuai,5,1
Cepat sampai home &amp; puas sama pelayanan cs nyaa... Mantappp,5,1
"Makasih ya...pelayananx ramah, cepet sampe, packingx rapi n pasti barangx bagus.. saya suka saya suka..",5,1
"customer service memuaskan fast response, pokoknya semuanya bagusss",5,1
"Wokee hp sesuai deskripsi N pelayanan tokony top bngt,proses kirim super cepat..recommended",5,1
Alhamdulillah sudah saya terima..semoga awet dan berkah😇😇😇😇,5,1
"Mantap, sempurna, pengiriman cepat",5,1
Pengiriman cepat produk ori,5,1
Good responds.......recomendded seller...,5,1
"Barang sampai dengan aman, , ,  original dan mantaabb, ,  terima kasih atas pelayanan nya yg ramah dan cepat",5,1
Produk oke dan pengiriman cepat,5,1
Produk sangat baik&#39; seler ramah &#39;kondisi gress dan lebih murah dari toko sebelah,5,1
Alhamdulillah Sangat puas dengan pelayanan nya pengiriman cepat barang bagus kamera nya sangat bagus hp nya untuk hadiah orang tua ku dan orang tuaku sangat senang trimakasih Oppo.,5,1
"Beliin org rumah, bagus bgt unt harga segitu. Screen besar, lcd nya jernih, hasil foto bagus, mudah jg trf data dr hp android lama pdhl beda merk, dll",5,1
"barang sesuai pesanan, sesuai deskripsi dan waktu pengiriman tepat waktu",5,1
"Barang sudah diterima dalam kondisi baik,paking rapih,pengiriman cepat.",5,1
Suda h diterima barang sudah diterima barang,5,1
Cepet pengiriman dan barang sesuai pesanan,5,1
Barang sesuai pesanan.. pengiriman superduper cepat.. semoga penjual dan pembeli banyak uang selalu..,5,1
"Respon dan pengirimn cpt.
Tp produk ada yg lecet pd busanya",4,1
Barang kuat dan topcer untuk berkendara,5,1
"Barang kualitas bagus, pengiriman sangat cepat. Recomended seller",5,1
Bagos pisan.......................,5,1
barang sampai. sesuai deskripsi. seller ramah. dan cepat tanggap,5,1
brang oke tp pengiriman lama,3,0
"Oke lah lumayan, pas sama harganya",4,1
Barang bagus sesuai pesanan..,5,1
"mantap, barang  dikirim cepat. barang sesuai deskripsi.
paket sampai dengan selamat dan rapi.",5,1
Barang sesuai deskripsi dan cepat dikirimnya..thanks gan,5,1
Mantap tapi pangangin gagang ke kepala nya keras banget,5,1
Barang sesuai pesanan. Mantull,5,1
Produk sudah sampai recommended sukses gan terima kasih,5,1
Semoga awet dan tidak rusak,5,1
Barang sesuai.cepet sampai.okee,5,1
"Walau barang yg datang ada lecet sedikit. Boxnya penyok gapapa.

Keep da good work gan",3,0
"barang bagus, langsung proses cepat, thanks gan",5,1
"Barang sudah diterima sesuai pesanan, fungsi baik dan kwalitas bagus. Trims",5,1
Sesuai deskripsi ....mantap,5,1
"Barang bagus, no cacat. Paket juga cepat",4,1
Sdh diterima dng baik..trm ksh,5,1
Barang sesuai display n keren,5,1
"Produk bagus, pengiriman cepat",5,1
barang bagus sesuai deskripsi,5,1
Barang udah same gan.  Terimakasih.,5,1
"produk kurang bagus,jepitan hp tidak kokkoh dipake dijalan yg kurang rata hp pasti jatuh",4,1
Barang diterima dengan baik..Dan produk OK banget. Semoga awet.,5,1
"Alhamdulilah barang cepat sampai,sesuai dengan diskripsi barang, Terimakasih",5,1
"Keren hade pisan, top lah",5,1
Sesuai dgn dipicture. Tks paking rapihhh,5,1
"Barang sudah sampai,   packing rapih makasih gan....",4,1
"Respon cepat, barang sesuai deskripsi dan gambar.... Pengiriman cepat di proses.... Murah meriah... Yaa walaupun packing barang saat sampai sedikit rusak.... Tapi semuanya clear.... Thanks! 😊",5,1
Harga dan kualitas sebanding. Agan nya jg responsive.,5,1
"Respon cepat, barang sesuai deskripsi",5,1
Sesuai produk . Bagus mantabbb,5,1
Pengiriman cepet..respon penjual cepet,5,1
Barang sudah sampai. terima kasih..,5,1
Barang sesuai dengan deskripsi produk dan pelayanan cepat.,4,1
Mantapp datang cepat kualitas oke,5,1
"Cepat n sungguh puas belanja di toko ini, rekomen bgt",5,1
Respon cepat dan produk sesuai dengan deskripsi,5,1
Bagus utk dipake di waktu malem trimakasih lazada,5,1
Barang bagus sesuai pesanan,4,1
Produk sesuai deskripsi.. imakasih...,5,1
Barang saya sudah terima... terimakasih anak saya suka bgt... saya jd puas,5,1
Fast response hanya Saja dusnya trlalu tertekan . Kasian Ka.. 😂😂,4,1
Saya pesen yang putih ...datang nya yg item om....,3,0
Barang sesuai gambar.....,3,0
"Proses cepat, kualitas dibawah harga.",5,1
"Paket cepat sampai dan packing baik
Sesuai deskripsi, thx",4,1
"Ok banget, sesuai deskripsi, padahal termurah dibanding toko lain!",5,1
"Cepet sampenya,,makasih bos,,",4,1
Fast respon...... pengiriman cepat....,5,1
Okeeh shiip sesuai pesanan.. Thanks,5,1
"proses cepat, respon cepat dan barang sesuai, semoga awet ..",5,1
"barang sudah diterima sesuai deskripsi, tp blon dibuka ... 
Proses dan pengiririman cepat... 
Recommended seller. 
Thanks seller jg Bukalapak",5,1
woiiiiiiiiii gimana sih pesanan  CEPET BANGET sampe nya baru mau komplennnnn :D,5,1
Goooooooooooood...!!!!!!!,3,0
Mantaaapp..super aman pengirimanny.. double bubble.. semoga awet.. cepet pula sampeny.. mksiii admiinn,5,1
Gak ragu deh beli di official store oppo 👍👍👍,5,1
"barang seduai deskripsi, rekomended seller",4,1
Mantap betuuuulllllllllllllll,5,1
Produk original. Sesuai dengan deskripsi. Bagus. Pengiriman lumayan cepat.  Rapi.,5,1
"Pelayanan cepat,.siang order malamnya langsung sampai barangnya,..sayangnya ga ada bonus atau promo,..",5,1
"Produk ok,fungsional ok,sesuai sm deskripsi n ekspektasi",5,1
"Pengiriman cpt, packing rapi",5,1
Bintang yg berbicara.....,5,1
Barang cepat dikirim dan respon penjual baik,5,1
Alhamdulillah pesanan diterima dg baik dan aman dg hitungan jam.. cepat sekali. Respon pejual juga sangat baik. Thanks oppo thank tokopedia.,5,1
"Pengiriman tepat d tgl 18 april. Diterima  tgl 21 april. Packing rapih dan aman. Plus bonus, semua sesuai deskripsi Puuaasss bgt. Thank you seller",5,1
Keren parah!! Worth to buy udah gitu ada bonus JBL speakernya..,5,1
Recomended banget deh... Brg sesuai pesanan dan hadiahx jg dapet...,5,1
Gratis an nya mantul.. Pengiriman tepat waktu.. Barang datang dengan selamat..,5,1
"Packing ny tidak safety, bubblewarp ny hanya 1 lapis padahal ini barang hp lo mba/mas",3,0
"Barang sesuai pesanan, paket rapi dpt free gift jg.. recommended seller",5,1
Packing aman kualitas oke lumayan puas,5,1
Mantap.....semoga kedpn nya bnyk bonus dan discount nya,5,1
barang da sampai n respon cepat,5,1
"PO ya sabar aja nunggunya, tgl 12 aprl pesen, 21 aprl sampe. Kemasan buble warp nya kurang rapet. Over all top dah, sdh dioprek ok barangnya",4,1
Ok barang sesuai dan  respon pengiriman cepat. Top!!,5,1
"Seller, pengirim J&amp;T dan tokopedia luar biasa.... jadi Semakin setia jadi TOPPER....",5,1
Alhamdulillah puas puas puas,5,1
Barang original masih dalam bentuk segel. Walau PO namun barang datang lebih cepet dari ekspektasi. Bonus juga sesuai dan packing super rapi. Sangat puas!,5,1
warna sesuai packing rapi dan aman sekali. barang sesuai deskripsi,5,1
Ternyata paket lebih cepat sampai dari estimasi pengiriman. Packing nya jg bagus jadi gak basah walaupun kena hujan dan sudah dilapisi bubble wrap.,5,1
"Produk sesuai deskripsi dan original, Adminnya fast response, dan paketnya sampai dengan cepat. Terima kasih juga atas free JBL Speakernya.",5,1
"Saya akan pesan lagi sepertinya
Hehe",5,1
Pengiriman Lbh cpt dr perkiraan. Hp nya keren. sesuai deskripsi dikirim lengkap sm bonusnya. Pokoknya ga nyesel ikutan PO OPPO F11 di tokopedia..,5,1
Kualitas produk bagus harga cukup terjangkau,4,1
Sesuai fungsinya namun ternyata barangnya kecil banget,4,1
Barang sesuai pesanan berfungsi dengan baik dan packing aman kiriman cepat.,5,1
Sipp...cocok...lanjutkan,3,0
"Barang sesuai gambar, tidak ada cacat, pengiriman cepat, kemasan rapi dilapisi plastik gembung.....",5,1
Oke barang nya mantap...,5,1
Packing bagus dan respon cepat,5,1
"Gan Paketnya sdh sampai..Alhamdulillah barang nya cekil tpi bisa nahan tab ukuran 10&#34;...mantap

tp paket yes nya lmyan delay ya..hiks",4,1
Sesuai dengan produk dan bagus,5,1
Produk sesuai mantaap.......,5,1
"Ini adalah pembelian kedua saya di toko ini. Seller sangat responsif ketika tahu saya butuh barang ini dengan segera, kemudian mengirimkan barang beberapa saat setelah transaksi selesai. Recommended seller pokoknya",5,1
Suka dengan produknya. Pas dengan iphone 6s saya yang menggunakan case anti crack,5,1
super fast shipping.. great product 👍👍👍,5,1
super fast shipping.. great product..👍👍👍,5,1
Makasih barang sdh sampe trimakasih jg bonusnya kmrn agak bingung aja soal slh kirim resi barang oky,5,1
Brownnnn lucuuu .... gak dapat connie,5,1
Lucu sesuai gmbar thxxx,4,1
"Barangnya sudah sampai lucu2 bgt,seller nya baik lagi,recommended onshop",5,1
"Barang sesuai foto dan HP saya Samsung A9 bisa berdiri walau kalau suka ditekan bisa jatuh karena berat, cuma okelah si brown kuat nahan hp saya hehehe.",5,1
Produk sesuai deskripsi &amp; harga ok.,5,1
Terima 🙏💕🙇 kasih 😘💕 sukses selalu,5,1
Barang diterima dengan baik. Packing ok. Respon seller cepat.,4,1
ok................................................,5,1
"Kirim barang nya sdh rusak...
Dikomplain malah ga terima maki&amp;#34; dan menghina pembeli",1,0
Bagus barangnya... Berfungsi dngn baik,5,1
"Good,  cepet responnya.  Packing bagus",5,1
Tongkatnya bagus tapi tombol kecil ada lepas..,4,1
Produk mantab delivery cepattt,5,1
Terimakasih barang sudah diterima dengan baik..,5,1
"Busa penjepit, salah 1nya ada yg penyok. Kecewa",3,0
"Barang sudah di terima dengan packing yg rapi &amp; barang sangat sesuai dgn fhoto,  mantap... 
Semoga sukses ya gan... 👍👍👍🤗🤗",5,1
bagus. super murah. berfungsi dengan baik. fast response,5,1
Mantap barangny gann 👌👌,5,1
Super puas pelayanan nya. Cepat pengiriman barang.,5,1
Kualitas mantap sangat berguna untuk navigasi dimobil.Sellernya pun ramah dan sangat fast response dalam menangani pesanan saya.Recommended Seller.👍,5,1
Buat dewasa bukan anak kegedean,2,0
Ya bagus untuk hadiah anak2.,5,1
Respon seller lama banget...,3,0
Baik sampai tujuan trimakasi,4,1
barangnya bagus respon cepat,3,0
"Sesuai digambar, n tp sayang aku belum mengerti pakenya",5,1
Ok terimakasih kiriman dah sy trima,4,1
"kualitas barang lumayan, barang lama sampai",3,0
barangnya cepat sampe sesuai gambar,4,1
Barang sdh terima.thx,4,1
Biar bintang yg berbicara,5,1
Barang sesuai dengan harga dan bagus,5,1
Saya pribadi sangat puas,5,1
"Produk  baik
Pengiriman jelek...",3,0
Barang bagus. Dan sesuai ke inginan.,4,1
Barang rusak dikirim,2,0
Barang ok sesuai pesanan,4,1
jam Nya sudah sampai denpasar bali bos,4,1
komitmen sampai tujuan sudah bagus,5,1
bagus banget dan sayang lama banget,5,1
Mantap pengiriman cepat..sesuai yg diharapkan...thkns.,5,1
"bagus sesuai yg ada di gambar, hanya saja kalo tlp suaranya ga terdengar",4,1
"barang sdh diterima, anak saya senang. Terima kasih.",4,1
"Barang sesuai gambar, thx gan...",5,1
"Respon cepat, packing rapih, recommended banget.",5,1
"product good sesuai deskripsi, packing good..seller recomended.",5,1
Kualitas baik tidak kaku dan kesan mewah,5,1
Item diterima sesuai deskripsi,5,1
Brg mendarat DG Aman mantaaapp,5,1
Produknya sesuai dg deskripsi dan recommended,5,1
"Barang sudah saya terima, memuaskan °^°",5,1
"Very quick respon and communicative
, good quality product too..good job!",5,1
"Bagus barang nya, express kirim nya",5,1
"Mantab barang diterima 1 hari setelah order, barang sesuai dengan deskripsi 👍",5,1
sesuaigambardandeskripsi,5,1
"Bahnnya bagus, terlihat kuat dan mudah  dipakai",5,1
Trima kasih bos..barang sesuai pesanan.,5,1
"Barang bagus dan pengiriman cepat, terima kasih gan..",5,1
Harga produk sangat baik. Kecepatan pengiriman sangat baik,5,1
"Headstrap hp sudah sampai, dan barang sesuai dengan pesanan",5,1
"Response penjual baik, waktu pengiriman sesuai standard (2 hari). Meski tanpa bubble wrap, paket terbungkus aman. Kualitas produk sesuai harga &amp; deskripsi",3,0
Barang sesuai foto:&#39;),5,1
barang cepat sampai dan sesuai,4,1
Produk sesuai dengan foto dan deskripsi,4,1
Sesuai pesanannnnnnnnnnn,5,1
mantaaappppppppppppp0,5,1
Barangnya persis kaya gambar,5,1
Produk sesuai gambar....,5,1
"Mantap,sesuai pesanan.tx om👍👍👍👍👍",5,1
"Biar bintang aja yg bicara..
Sukses gan..",5,1
"Barang sdh sampe gan, transaksi mmuaskan, packing aman, barang ssuai dskripsi. Nnttttaappp! Trims!",5,1
"seller fast respon, produk sesuai",5,1
"Bagus,  sesuai gambar.......",4,1
ren keren keren keren keren,5,1
"Respon cepat, kualitas bagus",5,1
"Produk nya bagus,lengkap dan tidak ada masalah.tapi ada goresan-goresan yg tidak terlalu kelihatan di bagian belakang kepala plastik warna hitam tapi tidak apa-apa.",4,1
Barang sesuai dan dapat digunakan,5,1
"Sudah diterima dgn baik, sesuai pesanan dan sesuai yg diharapkan.. packing mantab, pengiriman super fast.
Recomended seller !!",5,1
barang sesuai deskripsi. Pengiriman cepat,4,1
"Buat yg mau beli, tolong beli baut nya sekalian . Karna ngga termasuk disini",5,1
"Bagus semua, sesuai deskripsi item",5,1
"Paket sudah di terima, semoga awet terpakai, Bintang 4 cukup mewakili Kepuasan kami",4,1
"Produk bagus sesuai deskripsi.
Pengiriman on time.
Tks gan",5,1
warna tdak sma dgn gambar....trima kasih,1,0
"barang ok,sellernya ok,n tokopedianya makin sukses ya,ternyata lebih mudah dan aman belanja di sini,barangnya berguna banget",5,1
sdh diterima. paking rapi. siiiipp,3,0
maaf terlambat..............................,3,0
Mantab semoga awet .....,5,1
"langsung sampe,,brg sesuai pesanan,,thx👍👍👍",5,1
Kualitas bagus pembelian ke 2 disini,4,1
Produk sangat bagus dan pengiriman sangat rapi,5,1
Ukuran XL. Barang bagus tapi kegedean buat hp 6.2 inch.,5,1
"Pas bgt sm hp samsung j6.produk sesuai.pengiriman cpt.seler ramah.respon cepat....
Puas dech.",5,1
"mantap sesuai dengan apa yang di inginkan, semoga sukses trus ya gan hehe👍👍👍",5,1
barang sesuai pesanan dan berfungsi dgn baik,5,1
Pengiriman lumayan lama,4,1
Barang cepat sampai.. sesuai ukuran hp,5,1
Keren... selalu fast respon,5,1
Mantaaap pokoknya joss,5,1
"Pengaitnya gak kuat, gampang goyang jd gampang jatuh. Jd saya kasih lem korea buat perekatnya lg biar ga mudah jatuh",2,0
Mantap...barang sesuai. Maaf telat,4,1
"casenya bagus, bracketnya kudu diakalin dulu br bs dipake 😓... tp over all worth the price",4,1
"Toooopp markotop, barangnya kereenn....",5,1
"Dari segi seller, seller nya responsif dlm hal menjawab pertanyaan, pengiriman jg cepat.
Dari segi brg, brg yg diterima sesuai dgn deskripsi di lapak, brg berfungsi dgn baik n ga ada cacat sedikitpun, packing nya pun rapih.
TOP buat seller yg satu ini.",5,1
"Pengiriman cepat dan barangnya bagus .. tp hanya bingungnya bagaimana cara pemasangannya?
Trims seller. Sukses selalu",5,1
"Packing rapih, barang sesuai gambar.",5,1
Barang yang dikirim penjual tidak sesuai deskripsi (Holder Braket Handphone Di Spion Motor Anti Air Waterproof Ukuran L) tapi yang dikirim XL. Penjelasan tentang ukuran L tidak rinci seperti panjang x lebar.,3,0
Bagussss barangnya ga kecewa deh,5,1
Keren barang mantap dah sukses terusssss,5,1
Yaa.. Dah sampai.... Barangnya sesuai gambar.,5,1
Barang cepat sampai kemarin pesan hari datang mantaap,4,1
udah di pasang dan pas ukuranya mantep bisa pantau map gan makasi,5,1
"Sadis paten betul, mantap kali pokoknya abang ini jual👍👍👍👍👍",5,1
"Terima kasih,, barang sudah sampai",5,1
Mantul produknya. Fast respon penjualnya,5,1
"Produk sesuai deskripsi
Proses pengiriman super
rekomend seller",5,1
"Respon chat cepat , pengiriman sangat cepat dan sesuai diskripsi. Recommended deh.",5,1
Luar biasa pengirimannya cepat dan barangnya bagus,5,1
Respon cepet barang sesuai recomen dah,4,1
"Bag sambungannya kaku , bag plastik sentuhnya juga kaku ,jadi agk diteken baru sensornya terasa",3,0
Terima kasih sudah datang sesuai pesanan,5,1
Makasih barang sudah sampai dengan cepat,5,1
Barang cepat sampai dan mantull barangnya..mantap dah..recomend seller..,5,1
Barang sudah di terima dengan baik....belom coba di pasang....terima kasih,5,1
Ukuran sesuai dengan foto dan deskripsi penjual nya ramah recomendasi beli produk ini,5,1
Lumayanlah sesuai harga ...trims,4,1
"Barang bagus, sesuai pesanan, thanks",5,1
Cepat sampai barang sesuai,5,1
"Produk kuat dan packing rapih, suka sama pelayanan",5,1
Sipppppppppppppppppppppppppppppppp,5,1
"Barang oke punya,.............     . .....",5,1
Mantapppppppp respon cepat pengiriman cepat,5,1
Paket rapi dan barang kondisi baik...makasih gan,5,1
Barang kondisi baik ...terima kasih gan,5,1
"Barang sudah mendarat. Fast respon , pengiriman cepat. Recommend seller",5,1
Material sih oke tapi holdernya ga ngelock sama bracket nya :(,4,1
"Keren sih cuma sempet ngira gampang copot,ternyata ngga",4,1
"Cepat....dan tepat
Sangat bagus sekali",5,1
Barangnya sudah sampai sesuai dengan keterangannya sama,5,1
"Terimakasih... Barang sudah sampai, kondisi bagus",5,1
"Bagus barangnya sesuai dg gambar, cover plastik tembus touchscreen, tapi belum tes siram air",5,1
"Seller responsif! Diskusi dan chat langsung direspon dengan baik. Kualitas barang bagus dan kuat, pasangnya harus benar sampai klik. Pertahankan kualitas dan pelayanannya. Sukses selalu.",5,1
"pengiriman cepat, sesuai pesanan",5,1
"Produk bagus, sesuai dengan informasi, tapi tidak bisa digunakan untuk Sony Experia Z Ultra.",5,1
Thanks gan barang udah diterima dan barang dalam kondisi bagus..,5,1
"Sesuai pesenan, barang oke, god job",5,1
Barang sudah di terima kasih,5,1
"Barang bagus, sesuai deskripsi, murah oke",5,1
"mantaf walau sy lupa kasi ukuran kebutuhan sesuai hape nya..

produk tahan air percikan dan guyur hujan deras..

tapi ya jangan di bawa nyelem ya..",5,1
Mantapp sesuai deskripsi,5,1
"Seller good, pengiriman cpt, Tas holdernya bagus, besi standnya jg kuat cuma sayang pengait dari stand ke tas holder longgar kurang kencang rawan jatuh",4,1
"recomendet salerr.,
fast respon , pengiriman jga cepet
barang sesuai sama deskripsi",5,1
"Fast respon, pengiriman cepat dan barang sangat2 sesuai dengan deskripsi. 

Recommended seller.",5,1
"packing rapi, pengiriman gojek sangat cepat cmn 30menit, seller ramah 👍, produk sesai dgn foto, semoga awet tahan lama, thankyou 🙏",5,1
Mantap dimodifikasi sedikit supaya lebih nyaman kualitas lumayan sih kalo bagus juga jelek juga sedeng lah,4,1
"Kualitas bagus dan sesuai dengan deskripsi.
Thank you juragan.",5,1
"mantaaappp.... sesuau pesanan,ukuran pas buat hp saya (6.3 inch)",5,1
Sesuai deskripsi.......,5,1
"Respon penjual cepat,barang sesuai,terimakasih",5,1
"Puji Tuhan barang yg datang sesuai dgn Pesanan saya (Uk. XL) dan masih Wangi pabrik.....
Tq yaa dah Sabar balesin Chat saya &amp; Barang datang gaa lama2.
Gbu",5,1
"Produk sesuai deskripsi, sangat cepat diproses dan kirim, makasih gan",5,1
Kualitas barangnya bagus banget. Trims gan..,5,1
Mantap x lh pelayananny,5,1
"Respon cepat kondisi barang oke, makasih gan 🙏",5,1
"Barang sudah sampai,packing rapih,respon chat cepat",5,1
"Dah kesekian kali beli, selalu puas, recommended seller nih, thank you",5,1
Ok pas dan sesuai Ukuran,4,1
"Barang bagus n cepet sampai,tapi sayang cantolan dari braket ke tempat hp ny longgar",3,0
"Barang sesuai dgn yg di order, packing pengiriman rapi. Terima kasih Digital Shop6688",5,1
"Mantap... Seller respon cepat, barang oke... Thx a lot seller and tokopedia",5,1
"Sangat memuaskan..pemgiriman pun super cepat.
recomended bgt 👍👍",5,1
produk sesuai dengan yg di iklan bagus banget tapi bingung masangnya gimana ya😁,4,1
Mantaps holder bracketnya,5,1
"Barang cepat sampai, packing rapih..ty",5,1
"Barang cpt sampai dan sesuai dgn ulasan..
Penjual ramah dan recomend sekali",5,1
Produk sudah sampai recommended sukses gan terima kasih,5,1
"Barangnya mantap,,, cuman kurang sempurna.",4,1
"Fast response seller, produk sesuai deskripsi",5,1
"Respon cepat barang bagus,thanks sesuai pesanan",5,1
penjual fast respon.barang cepat sampai. packing rapi. mantap,5,1
Cepet bgd smpe nya...packing rapi...mantab,5,1
Terimaaa kasihh.......,5,1
Trimakasih pengirimanya cepat,5,1
Sesuai pesanan terima kasih,3,0
Holder yg pas bagi anda yang bekerja srbagai driver online,4,1
Ane gak pasang karena sambungan braket dari cover hp ke holder gampang lepas..,4,1
"Ukuran xl muat utk j6 plus, semoga awet barangnya. Terimakasih",5,1
Fast response... Barang lsg dikirim ke bogor hanya dalam waktu 1 hari...fast deliver..tq,5,1
Baranh bagus.cma blm bisa merangkainya,5,1
Good...........................,5,1
Belom di liat moga aja si bagus. Tapi sampe dengan selamat,4,1
"1 kata utk seller, fast response! Dan barang nya pun bagus, sesuai pesanan. Nice 👍🏻",5,1
Sesuai deskripsi...semoga awet,5,1
"wokeh lah barang sampai, lumayan",4,1
"Barang bagus, sangat membantu",5,1
Terimakasih banyak... Good Job~~~,5,1
Bungkus rapi dan pengiriman cepat!,5,1
Pass smp drmh pas barangnya dtng...👍👍👍,5,1
"Minus kirim lambat, padahal instant",3,0
Bagus sesuai deskripsi recommended Seller,5,1
"Belanja kesekian x di lapak ini selalu puas dengan respon chat dan barangnyaa. Pengiriman jg terbilang cepat, menggunakan si cepat dpt potongan ongkir 5rb, order sabtu jm 11:30 siang, minggu jm 10 barang sudah sampai. Recommended seller bgt 👍",5,1
"Respon cepat, barang sesuai deskripsi...",5,1
Tq............................,5,1
"Bagus kokoh, recommended banget dan lumayan terjangkau",5,1
Kualitas barangnya bagus. Cuma proses ngirimnya lamaaa banget padahal pake grab/gojek instan. Baru dikirim besoknya. Tapi tetap bintang 5 buat barangnya.,5,1
Kualitas Ok banget.Sesuai deskripsi.Pengiriman cepat.,5,1
Kualitas mantapp.. pengiriman cepat.. recommended seller..,5,1
mantap bnarangnya sesuai deskripsi,5,1
Barang bagus kualitasnya,5,1
"Bayar: 01 April 2019, jam 11.39 siang
Terima: 04 April 2019, jam 17.47 sore !

Pakai kurir JNE YES (sesuai yang ditawarkan pihak penjual).
Apa yah arti dari JNE”YES” !?

Akibat cara PROSES &amp; PENGIRIMAN pihak penjual yang LAMA :((",3,0
oke. berfungsi dengan baik semua. thank you gan. Semoga awet barangnya,5,1
"Barangnya durable banget ga nyesel dengan harga segitu. Baru pakai seminggu ga ada masalah, seharusnya sih gpp ya soalnya ga kaya holder biasa yang lembek banget (ini full metal/besi gitu agak berat). Plus udah ane coba pakein mic (Boya M-1 disambungkan dengan cold shoe mount) sama stand tripod cocok dan gampang banget untuk di sambungin. Dipakein casing hapenya kalau bisa, takut ga sengaja kegores sama nih barang lumayan keras soalnya 🤣🤣",5,1
Kualitas sangat bagus sesuai dgn harganya,5,1
Built quality sangat bagus....sesuai harga....recomended...,5,1
"Kualitas barang bagusdan solid, respon penjual SANGAT CEPAT, pengiriman SANGAT CEPAT, saya puas",5,1
"Sesuai pesanan, packing baik",5,1
produk bagus berkualitas. harga bersaing. pengiriman cepat. packing rapih... thank you,5,1
Mantap.. kokoh bgt..👍,5,1
Barang sesuai deskripsi . packing baik . penjual fast respon . thanks,5,1
respond dan pengiriman oke,5,1
Produk sesuai dengan deskripsi,4,1
Mantap kali nih gan.. mudah pakenya gan..,5,1
"Sorry br coment, brg bagus sesuai gambar/deskripsi.. kokoh.. recomended..!",4,1
"Fungsi normal kualitas standar sesuai harga, rekomended seller",4,1
oke banget sesuai kebutuhan,5,1
Penjual tidak responsif. Item dalam box tidak lengkap. Tidak bisa di gunakan. Not recommended seller.,1,0
barang berfungsi dengan baik,5,1
"Barang bagus sesuai dengan deskripsi,respon juga cepat,smoga awet deh",5,1
Pengirimannya terlalu lama.... No rekomen deh,1,0
bagus gan sesuai dengan pesenan,4,1
